sample_id,transcript_id,log2cpm,gene_name,transcript_type,condition,donor_inferred,contrast
XZ5_CADASIL_R153C,ENST00000432072.6,6.94485639437933,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000354785.11,10.0961537205133,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000498719.1,3.21792015477703,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000456923.5,9.4899643362795,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000494446.1,3.42617247116675,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000469569.1,2.86030779518829,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000473614.1,2.23137643525645,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000480024.1,3.745758256532,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000461974.1,7.26295790343052,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000485567.1,1.99938520911009,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000460217.1,2.11174757456605,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000474036.1,4.28305778498746,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000490833.5,-6.32704427801221,FN1,protein_coding_CDS_not_defined,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000480737.1,4.2380578003481,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000471193.1,-6.32704427801221,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000426059.1,2.48993934524317,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000496542.1,-0.349764354512293,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000261937.11,-1.93472685523345,FLT4,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000393347.7,-6.32704427801221,FLT4,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000510000.1,-1.68318808823749,FLT4,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000514810.1,-1.57215677584874,FLT4,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000282397.9,-2.86761265937491,FLT1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000541932.5,-1.46906328288464,FLT1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000615840.5,-1.57215677584874,FLT1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ5_CADASIL_R153C,ENST00000539099.2,-6.32704427801221,FLT1,nonsense_mediated_decay,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000421182.5,1.85292815632014,FN1,protein_coding,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000323926.10,11.8127858593309,FN1,protein_coding,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000336916.8,10.1275811127046,FN1,protein_coding,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000492816.6,5.11035681825936,FN1,retained_intron,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
