ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000250711.1,PRELID3BP7,0,0,0,0,0,0,0
ENSG00000250712.1,ENSG00000250712,0,0,0,0,1,0,0
ENSG00000250714.3,TNFRSF10A-DT,3,0,8,3,0,2,5
ENSG00000250715.1,H3P22,0,0,0,0,0,0,0
ENSG00000250716.1,LINC01017,0,0,0,0,0,0,0
ENSG00000250719.2,P3R3URF,0,0,0,0,0,0,0
ENSG00000250721.1,HMGB1P22,0,0,0,0,0,0,0
ENSG00000250722.6,SELENOP,316,1363,49,141,600,70,157
ENSG00000250723.7,ENSG00000250723,4,1,0,0,0,4,0
ENSG00000250725.2,ENSG00000250725,1,0,0,0,0,0,0
ENSG00000250726.1,ENSG00000250726,0,0,0,0,0,0,0
ENSG00000250727.1,ENSG00000250727,0,0,0,0,0,0,0
ENSG00000250728.1,ENSG00000250728,0,0,0,0,0,0,0
ENSG00000250730.2,HMGB3P3,0,0,0,0,0,0,0
ENSG00000250731.1,TPM3P6,12,7,11,11,7,12,16
ENSG00000250732.1,RPEP1,0,0,0,0,0,0,0
ENSG00000250733.6,C8orf17,0,0,0,0,0,0,0
ENSG00000250734.2,ENSG00000250734,1,0,0,1,5,1,5
ENSG00000250735.5,ENSG00000250735,0,0,0,0,0,0,0
ENSG00000250739.1,LINC01262,0,0,0,0,16,1,0
ENSG00000250740.1,ENSG00000250740,0,0,0,0,0,0,0
ENSG00000250741.6,NT5C1B-RDH14,0,0,0,0,0,0,0
ENSG00000250742.6,LINC02381,7,1,0,30,23,1,11
ENSG00000250745.3,USP17L20,0,0,0,0,0,0,0
ENSG00000250746.1,ENSG00000250746,1,1,1,0,3,3,7
ENSG00000250747.1,ENSG00000250747,0,0,0,0,0,0,0
ENSG00000250748.6,MSRB3-AS1,0,0,0,0,1,0,0
ENSG00000250749.1,ENSG00000250749,0,0,0,0,0,0,0
ENSG00000250750.1,OR5BM1P,0,0,0,0,0,0,0
ENSG00000250751.1,ENSG00000250751,1,1,0,0,0,0,0
ENSG00000250752.2,RPL23AP96,0,0,0,0,0,0,0
ENSG00000250753.2,ENSG00000250753,0,0,0,0,0,1,0
ENSG00000250754.6,LINC02436,0,0,0,0,0,0,0
ENSG00000250756.1,ENSG00000250756,0,0,0,0,0,0,0
ENSG00000250761.2,ENSG00000250761,0,0,0,0,0,0,0
ENSG00000250762.1,ENSG00000250762,1,0,0,1,0,0,0
ENSG00000250764.1,ENSG00000250764,10,6,7,8,0,1,3
ENSG00000250765.1,SEPTIN14P5,0,0,0,0,0,0,0
ENSG00000250767.1,ENSG00000250767,0,0,0,1,0,0,0
ENSG00000250768.1,DPP3P1,0,0,0,0,0,0,0
ENSG00000250769.2,ENSG00000250769,0,0,0,0,0,0,0
ENSG00000250770.6,ENSG00000250770,0,0,0,0,0,0,0
ENSG00000250771.3,ENSG00000250771,0,0,0,0,0,0,0
ENSG00000250772.6,LINC01365,0,0,0,0,0,0,0
ENSG00000250775.2,ENSG00000250775,0,6,2,0,1364,1,0
ENSG00000250777.2,ENSG00000250777,0,0,0,0,1,1,0
